,,,,,,,,,,,latitude,longitude,group,,
,,,,,,,,,,,40.72577,-74.00558,0,,
,,,,,,,,,,,40.72505,-73.63441,0,,
,,,,,,,,,,,40.77206,-73.53297,0,,
,,,,,,,,,,,40.90062,-73.81908,0,,
,,,,,,,,,,,42.75656,-73.7706,0,,
,,,,,,,,,,,41.21631,-73.72259,0,,
,,,,,,,,,,,40.78342,-73.83329,0,,
,,,,,,,,,,,40.87728,-73.11852,0,,
,,,,,,,,,,,43.3269,-73.67655,0,,
,,,,,,,,,,,40.851,-73.93842,0,,
,,,,,,,,,,,43.21133,-77.45065,0,,
,,,,,,,,,,,40.82491,-72.98895,0,,
,,,,,,,,,,,40.69069,-73.68552,0,,
,,,,,,,,,,,40.74191,-73.60025,0,,
,,,,,,,,,,,40.61927,-74.03295,0,,
,,,,,,,,,,,41.09753,-73.95313,0,,
,,,,,,,,,,,41.31752,-74.15309,0,,
,,,,,,,,,,,40.72911,-73.21488,0,,
,,,,,,,,,,,40.75874,-73.97094,0,,
,,,,,,,,,,,40.52828,-74.23331,0,,
,,,,,,,,,,,41.50544,-74.05862,0,,
,,,,,,,,,,,42.0802,-76.01769,0,,
,,,,,,,,,,,43.11112,-77.5473,0,,
,,,,,,,,,,,42.15313,-76.87226,0,,
,,,,,,,,,,,40.77274,-73.20139,0,,
,,,,,,,,,,,40.77912,-73.94747,0,,
,,,,,,,,,,,42.85983,-73.78151,0,,
,,,,,,,,,,,42.86848,-78.6975,0,,
,,,,,,,,,,,42.87883,-78.69862,0,,
,,,,,,,,,,,43.19714,-77.57628,0,,
,,,,,,,,,,,40.76223,-73.98656,0,,
,,,,,,,,,,,40.77613,-73.9502,0,,
,,,,,,,,,,,40.76183,-73.98115,0,,
,,,,,,,,,,,43.97161,-75.96028,0,,
,,,,,,,,,,,40.73687,-73.99633,0,,
,,,,,,,,,,,43.1595,-76.12123,0,,
,,,,,,,,,,,42.09412,-76.00173,0,,
,,,,,,,,,,,42.99843,-78.81754,0,,
,,,,,,,,,,,40.71833,-74.00002,0,,
,,,,,,,,,,,41.4148,-73.66914,0,,
,,,,,,,,,,,40.77121,-73.95683,0,,
,,,,,,,,,,,43.0464,-76.23613,0,,
,,,,,,,,,,,40.72126,-74.00045,0,,
,,,,,,,,,,,40.63126,-73.94724,0,,
,,,,,,,,,,,40.70874,-74.00951,0,,
,,,,,,,,,,,43.00997,-78.20955,0,,
,,,,,,,,,,,42.79201,-78.78371,0,,
,,,,,,,,,,,44.70377,-73.49266,0,,
,,,,,,,,,,,40.76402,-73.9789,0,,
,,,,,,,,,,,40.76487,-73.97897,0,,
,,,,,,,,,,,40.79387,-73.97275,0,,
,,,,,,,,,,,40.68446,-73.97752,0,,
,,,,,,,,,,,41.72498,-73.93033,0,,
,,,,,,,,,,,40.77998,-73.97714,0,,
,,,,,,,,,,,43.02529,-77.43634,0,,
,,,,,,,,,,,40.74168,-74.00463,0,,
,,,,,,,,,,,40.87864,-72.52142,0,,
,,,,,,,,,,,40.82045,-73.40936,0,,
,,,,,,,,,,,40.80991,-73.50141,0,,
,,,,,,,,,,,40.8354,-73.86151,0,,
,,,,,,,,,,,40.73776,-73.61301,0,,
,,,,,,,,,,,40.75761,-73.97086,0,,
,,,,,,,,,,,40.75105,-73.98994,0,,
,,,,,,,,,,,40.71573,-74.00311,0,,
,,,,,,,,,,,40.70823,-74.01109,0,,
,,,,,,,,,,,40.74521,-73.99088,0,,
,,,,,,,,,,,42.95798,-78.87003,0,,
,,,,,,,,,,,40.75293,-73.97672,0,,
,,,,,,,,,,,40.75196,-73.97972,0,,
,,,,,,,,,,,40.75686,-73.97263,0,,
,,,,,,,,,,,41.03798,-73.70291,0,,
,,,,,,,,,,,40.82849,-73.19927,0,,
,,,,,,,,,,,40.75307,-73.99943,0,,
,,,,,,,,,,,40.94175,-72.9871,0,,
,,,,,,,,,,,40.7498,-73.99234,0,,
,,,,,,,,,,,40.73323,-73.98082,0,,
,,,,,,,,,,,40.7624,-73.97406,0,,
,,,,,,,,,,,40.871,-72.79881,0,,
,,,,,,,,,,,40.78102,-73.98107,0,,
,,,,,,,,,,,40.70649,-74.00678,0,,
,,,,,,,,,,,42.91254,-78.76311,0,,
,,,,,,,,,,,40.96341,-72.18625,0,,
,,,,,,,,,,,40.63046,-74.10612,0,,
,,,,,,,,,,,41.66085,-73.93105,0,,
,,,,,,,,,,,40.75703,-73.98878,0,,
,,,,,,,,,,,40.72626,-73.85278,0,,
,,,,,,,,,,,40.75177,-73.97765,0,,
,,,,,,,,,,,40.98103,-73.82932,0,,
,,,,,,,,,,,40.75245,-73.9094,0,,
,,,,,,,,,,,40.70435,-74.01302,0,,
,,,,,,,,,,,40.61917,-73.98991,0,,
,,,,,,,,,,,42.65016,-73.75272,0,,
,,,,,,,,,,,40.61224,-74.13258,0,,
,,,,,,,,,,,42.63894,-73.85667,0,,
,,,,,,,,,,,41.69834,-73.88017,0,,
,,,,,,,,,,,40.80512,-72.95693,0,,
,,,,,,,,,,,42.97852,-78.73296,0,,
,,,,,,,,,,,41.3342,-73.6976,0,,
,,,,,,,,,,,40.74135,-73.69843,0,,
,,,,,,,,,,,40.71078,-73.36179,0,,
,,,,,,,,,,,40.66734,-73.40626,0,,
,,,,,,,,,,,40.56406,-74.11467,0,,
,,,,,,,,,,,42.90858,-78.77129,0,,
,,,,,,,,,,,40.93961,-73.8344,0,,
,,,,,,,,,,,40.74709,-73.98124,0,,
,,,,,,,,,,,40.58111,-73.98543,0,,
,,,,,,,,,,,40.98337,-73.68488,0,,
,,,,,,,,,,,41.20716,-73.72907,0,,
,,,,,,,,,,,40.77003,-73.95463,0,,
,,,,,,,,,,,40.77464,-73.95433,0,,
,,,,,,,,,,,40.77421,-73.98135,0,,
,,,,,,,,,,,40.76593,-73.96359,0,,
,,,,,,,,,,,40.77412,-73.95932,0,,
,,,,,,,,,,,40.73001,-73.99166,0,,
,,,,,,,,,,,40.74368,-73.97687,0,,
,,,,,,,,,,,40.86436,-73.63184,0,,
,,,,,,,,,,,40.72936,-73.98737,0,,
,,,,,,,,,,,40.7849,-73.9787,0,,
,,,,,,,,,,,40.78464,-73.50206,0,,
,,,,,,,,,,,40.6947,-73.99397,0,,
,,,,,,,,,,,40.73304,-73.99976,0,,
,,,,,,,,,,,40.71184,-74.00684,0,,
,,,,,,,,,,,40.76209,-73.98335,0,,
,,,,,,,,,,,40.72253,-73.99796,0,,
,,,,,,,,,,,40.87127,-73.42755,0,,
,,,,,,,,,,,40.76755,-73.98295,0,,
,,,,,,,,,,,40.76431,-73.98091,0,,
,,,,,,,,,,,40.75664,-73.9859,0,,
,,,,,,,,,,,40.77236,-73.94992,0,,
,,,,,,,,,,,41.00264,-73.68134,0,,
,,,,,,,,,,,40.75063,-73.97926,0,,
,,,,,,,,,,,40.60001,-73.65413,0,,
,,,,,,,,,,,40.78868,-73.72926,0,,
,,,,,,,,,,,40.75814,-73.97427,0,,
,,,,,,,,,,,40.76405,-73.98223,0,,
,,,,,,,,,,,40.75732,-73.98558,0,,
,,,,,,,,,,,40.70749,-74.01125,0,,
,,,,,,,,,,,40.76559,-73.82589,0,,
,,,,,,,,,,,40.70926,-74.01051,0,,
,,,,,,,,,,,40.71114,-74.01543,0,,
,,,,,,,,,,,40.7606,-73.97961,0,,
,,,,,,,,,,,40.76076,-73.97962,0,,
,,,,,,,,,,,40.76292,-73.97881,0,,
,,,,,,,,,,,40.75903,-73.97356,0,,
,,,,,,,,,,,40.75318,-73.97498,0,,
,,,,,,,,,,,40.75389,-73.97872,0,,
,,,,,,,,,,,43.02859,-77.44264,0,,
,,,,,,,,,,,40.87357,-73.90852,0,,
,,,,,,,,,,,40.72556,-73.51637,0,,
,,,,,,,,,,,40.70269,-73.99091,0,,
,,,,,,,,,,,41.15186,-73.82909,0,,
,,,,,,,,,,,40.77749,-73.95513,0,,
,,,,,,,,,,,40.75893,-73.99252,0,,
,,,,,,,,,,,43.02888,-76.01654,0,,
,,,,,,,,,,,43.32922,-73.67484,0,,
,,,,,,,,,,,41.03222,-73.76112,0,,
,,,,,,,,,,,40.75591,-73.92348,0,,
,,,,,,,,,,,43.04765,-76.15525,0,,
,,,,,,,,,,,40.63234,-73.94857,0,,
,,,,,,,,,,,40.74803,-73.98925,0,,
,,,,,,,,,,,40.68831,-73.34044,0,,
,,,,,,,,,,,40.82229,-72.99688,0,,
,,,,,,,,,,,43.18782,-77.70101,0,,
,,,,,,,,,,,42.87174,-73.77414,1,(856) 874-1827,Y
,,,,,,,,,,,40.80692,-73.07295,1,(212) 967-0904,N
,,,,,,,,,,,40.96867,-73.71364,1,(914) 777-2013,N
,,,,,,,,,,,41.10169,-74.02578,1,(845) 446-0420,N
,,,,,,,,,,,40.67914,-73.8647,1,(718) 323-5944,N
,,,,,,,,,,,42.66535,-73.79054,1,,N
,,,,,,,,,,,41.50237,-74.0394,1,(845) 534-1371,Y
,,,,,,,,,,,43.31757,-76.41235,1,,Y
,,,,,,,,,,,42.9329,-78.75407,1,(716) 634-4382,N
,,,,,,,,,,,42.97035,-78.87054,1,,Y
,,,,,,,,,,,43.07462,-73.78755,1,,Y
,,,,,,,,,,,40.65831,-73.69519,1,,Y
